accountIdentifier,principal,numberOfOwnedNFTs,ownedNFTs,ownedNFTsVisible,minted,numberOfMintedNFTs,mintedNFTs,mintedNFTsVisible,mintValueICP,sold,numberOfSoldNFTs,soldNFTs,soldNFTsVisible,sellValueICP,bought,numberOfBoughtNFTs,boughtNFTs,boughtNFTsVisible,buyValueICP,listings,numberOfListedNFTs,listedNFTs,listedNFTsVisible,minListingPriceICP,collectionName,collectionCanisterId
464fd387a406f318781c40a3e9733aed61780f0d2dc1f9ae5c4c8e7967df7998,6ava5-ehyo4-4766p-ikn5v-kjndn-olaox-saprq-e4qur-unc46-mjhyg-aae,1,285,286,false,0,,,0,false,0,,,0,false,0,,,0,false,0,,,0,Catalyze,gksxm-waaaa-aaaao-aapjq-cai
b5e3dc1b2cb8a75bcaa9b160286f56e7b31b5805c083cc6042412f9e80cb9e19,2ge72-dlvtp-4ie3x-ic2ju-7oe4v-6pzuj-foeop-xdtuv-3hyfo-beqpq-7ae,1,133,134,false,0,,,0,true,1,386,387,99,true,2,386;133,387;134,104.5,false,0,,,0,Catalyze,gksxm-waaaa-aaaao-aapjq-cai
a781539b7f9ed19ee31fe528387c15d3dd2dcdfde24397f1d91285c58dd6e2c8,fbihm-lfziq-afsz2-z2lwh-2ebtk-h3wfw-eo7cq-4avxx-bvlm5-k2gtz-dqe,1,230,231,false,0,,,0,false,0,,,0,false,0,,,0,false,0,,,0,Catalyze,gksxm-waaaa-aaaao-aapjq-cai
fcb8b3cfbc89e4a7fc11f7a4fe57c211cfc86f6ba310ca733e388e451b68158a,fe37d-5o4np-ztosq-pcwy2-ki5aw-cxyhk-owdaq-7uuqb-yzg72-gkxfm-dqe,1,390,391,false,0,,,0,false,0,,,0,false,0,,,0,false,0,,,0,Catalyze,gksxm-waaaa-aaaao-aapjq-cai
6dbbac9067218f60a9648b39b39626893a8b0806e007f01b41f804afa1491b9c,yb46e-urmqv-6zbfx-5mgvd-2564e-rjmzo-gofts-dtswz-giqxp-emztt-iae,1,415,416,false,0,,,0,false,0,,,0,false,0,,,0,false,0,,,0,Catalyze,gksxm-waaaa-aaaao-aapjq-cai
7b2d4389bc503021aed81af28668781b13f24872a80dfb8c2b9ca3d74f31e3b8,qceao-snkv4-gacgp-mw4fq-dhrha-wov4f-fxqau-olbey-yqduh-x6sfj-7ae,1,269,270,false,0,,,0,false,0,,,0,false,0,,,0,false,0,,,0,Catalyze,gksxm-waaaa-aaaao-aapjq-cai
ee4ef3527d277b0a3e7e1c0ec4cfc8e3cf0b8a1856a12f75f4b5796078491e9c,ju4us-27v7w-ehzbk-hoy3g-y5wvc-xacgm-pobx3-rrnwq-am73y-fzyze-kae,1,181,182,false,0,,,0,false,0,,,0,false,0,,,0,false,0,,,0,Catalyze,gksxm-waaaa-aaaao-aapjq-cai
776ef79e158c5a61d263a05d13b033ee31946a4cb99dd04d1b9ce75c41d80c5d,7wy4z-od6mm-c2z5q-dtsoc-35ddi-6uest-3ytks-xwyjw-qonev-w3v4r-lqe,1,178,179,false,0,,,0,false,0,,,0,false,0,,,0,false,0,,,0,Catalyze,gksxm-waaaa-aaaao-aapjq-cai
1834b012bf5a5d64b724e3fc312d71ff95131143c382f8562fb8db6397a4c97f,3ujmy-jo34f-ul7vh-yt6sx-yhbxi-thkw7-h7r3n-ykiou-2hw6k-h7kwi-kqe,1,117,118,false,0,,,0,false,0,,,0,false,0,,,0,false,0,,,0,Catalyze,gksxm-waaaa-aaaao-aapjq-cai
085acf8bed1242c30ab256ba299dea1bc7450461d585dab84a991b2f1dc45ff7,zb3ar-zmep3-cythq-zqdgi-xgtmh-qeowu-ec76m-rwk6z-bpamb-obd2r-rqe,1,126,127,false,0,,,0,false,0,,,0,false,0,,,0,false,0,,,0,Catalyze,gksxm-waaaa-aaaao-aapjq-cai
